name	set_code	set_name
Adorable Kitten	UST	Unstable
Aerial Toastmaster	UST	Unstable
Amateur Auteur	UST	Unstable
By Gnome Means	UST	Unstable
Chivalrous Chevalier	UST	Unstable
Do-It-Yourself Seraph	UST	Unstable
Gimme Five	UST	Unstable
GO TO JAIL	UST	Unstable
Half-Kitten, Half-	UST	Unstable
Humming-	UST	Unstable
Jackknight	UST	Unstable
Knight of the Kitchen Sink	UST	Unstable
Knight of the Widget	UST	Unstable
Midlife Upgrade	UST	Unstable
Oddly Uneven	UST	Unstable
Old Guard	UST	Unstable
Ordinary Pony	UST	Unstable
Rhino-	UST	Unstable
Riveting Rigger	UST	Unstable
Rules Lawyer	UST	Unstable
Sacrifice Play	UST	Unstable
Shaggy Camel	UST	Unstable
Side Quest	UST	Unstable
Success!	UST	Unstable
Teacher's Pet	UST	Unstable
Animate Library	UST	Unstable
Blurry Beeble	UST	Unstable
Chipper Chopper	UST	Unstable
Clocknapper	UST	Unstable
Crafty Octopus	UST	Unstable
Crow Storm	UST	Unstable
Defective Detective	UST	Unstable
Five-Finger Discount	UST	Unstable
Graveyard Busybody	UST	Unstable
Half-Shark, Half-	UST	Unstable
Incite Insight	UST	Unstable
Kindly Cognician	UST	Unstable
Magic Word	UST	Unstable
Mer Man	UST	Unstable
More or Less	UST	Unstable
Novellamental	UST	Unstable
Numbing Jellyfish	UST	Unstable
S.N.E.A.K. Dispatcher	UST	Unstable
Socketed Sprocketer	UST	Unstable
Spell Suck	UST	Unstable
Spy Eye	UST	Unstable
Suspicious Nanny	UST	Unstable
Time Out	UST	Unstable
Very Cryptic Command	UST	Unstable
Wall of Fortune	UST	Unstable
Big Boa Constrictor	UST	Unstable
capital offense	UST	Unstable
Dirty Rat	UST	Unstable
Extremely Slow Zombie	UST	Unstable
Finders, Keepers	UST	Unstable
Hangman	UST	Unstable
Hazmat Suit (Used)	UST	Unstable
Hoisted Hireling	UST	Unstable
Inhumaniac	UST	Unstable
Masterful Ninja	UST	Unstable
Ninja	UST	Unstable
Old-Fashioned Vampire	UST	Unstable
Over My Dead Bodies	UST	Unstable
Overt Operative	UST	Unstable
"""Rumors of My Death . . ."""	UST	Unstable
Skull Saucer	UST	Unstable
Sly Spy	UST	Unstable
Snickering Squirrel	UST	Unstable
Spike, Tournament Grinder	UST	Unstable
Squirrel-Powered Scheme	UST	Unstable
Steady-Handed Mook	UST	Unstable
Stinging Scorpion	UST	Unstable
Subcontract	UST	Unstable
Summon the Pack	UST	Unstable
Zombified	UST	Unstable
The Big Idea	UST	Unstable
Box of Free-Range Goblins	UST	Unstable
Bumbling Pangolin	UST	Unstable
Common Iguana	UST	Unstable
The Countdown Is at One	UST	Unstable
Feisty Stegosaurus	UST	Unstable
Garbage Elemental	UST	Unstable
Goblin Haberdasher	UST	Unstable
Half-Orc, Half-	UST	Unstable
Hammer Helper	UST	Unstable
Hammer Jammer	UST	Unstable
Hammerfest Boomtacular	UST	Unstable
Infinity Elemental	UST	Unstable
It That Gets Left Hanging	UST	Unstable
Just Desserts	UST	Unstable
Painiac	UST	Unstable
Party Crasher	UST	Unstable
Steamflogger Boss	UST	Unstable
Steamflogger of the Month	UST	Unstable
Steamflogger Temp	UST	Unstable
Steamfloggery	UST	Unstable
Super-Duper Death Ray	UST	Unstable
Target Minotaur	UST	Unstable
Three-Headed Goblin	UST	Unstable
Work a Double	UST	Unstable
Wrench-Rigger	UST	Unstable
As Luck Would Have It	UST	Unstable
Beast in Show	UST	Unstable
Chittering Doom	UST	Unstable
Clever Combo	UST	Unstable
Druid of the Sacred Beaker	UST	Unstable
Eager Beaver	UST	Unstable
Earl of Squirrel	UST	Unstable
First Pick	UST	Unstable
Ground Pounder	UST	Unstable
Half-Squirrel, Half-	UST	Unstable
Hydradoodle	UST	Unstable
Ineffable Blessing	UST	Unstable
Joyride Rigger	UST	Unstable
Monkey-	UST	Unstable
Mother Kangaroo	UST	Unstable
Multi-Headed	UST	Unstable
Really Epic Punch	UST	Unstable
Selfie Preservation	UST	Unstable
Serpentine	UST	Unstable
Shellephant	UST	Unstable
Slaying Mantis	UST	Unstable
Squirrel Dealer	UST	Unstable
Steamflogger Service Rep	UST	Unstable
Wild Crocodile	UST	Unstable
